100000 2 3
1	9	0.34206	0.742252	0.366719
3	3	0.815883	0.114212	0.346768
12	1	0.799705	0.518397	0.31027
2	2	0.299275	0.443988	0.33645
9	2	0.506151	0.023416	0.481866
7	2	0.910829	0.005941	0.577746
3	8	0.280806	0.439292	0.615479
18	3	0.101531	0.202534	0.943266
1	2	0.478086	0.606136	0.827438
3	21	0.018939	0.265188	0.833301
4	22	0.741687	0.401498	0.88926
10	1	0.491337	0.298638	0.171706
2	2	0.579599	0.930413	0.485414
2	26	0.768316	0.27937	0.548759
2	5	0.602457	0.586443	0.83261
3	11	0.651868	0.362816	0.824904
1	4	0.063279	0.812394	0.084578
18	1	0.202861	0.826865	0.600039
4	3	0.623546	0.987989	0.004495
3	3	0.617423	0.834576	0.018121
5	2	0.184476	0.343389	0.383539
4	2	0.623329	0.394574	0.003323
27	3	0.066589	0.595597	0.784289
1	12	0.390012	0.812169	0.428178
1	5	0.97471	0.21934	0.91693
4	10	0.487449	0.696002	0.621368
2	2	0.718956	0.20442	0.603014
8	13	0.182351	0.842723	0.997988
3	3	0.467636	0.404645	0.467181
2	2	0.706529	0.728352	0.174246
1	23	0.44483	0.59131	0.192934
10	1	0.343375	0.806968	0.619578
1	14	0.576824	0.581816	0.673318
4	2	0.724742	0.464706	0.29801
2	1	0.479361	0.694389	0.487756
4	6	0.246	0.201905	0.265078
11	2	0.284006	0.435856	0.381577
6	1	0.705194	0.429652	0.234181
2	1	0.940977	0.071684	0.43806
11	3	0.50017	0.278309	0.361641
3	22	0.349757	0.318325	0.531975
2	6	0.812717	0.521285	0.546208
4	12	0.689065	0.270638	0.074231
8	8	0.102852	0.266485	0.816202
2	14	0.191929	0.257541	0.308086
1	3	0.833488	0.52174	0.342149
12	9	0.013251	0.932985	0.394055
5	20	0.702272	0.624058	0.235242
8	13	0.498006	0.162067	0.449393
2	5	0.780894	0.257558	0.96137
4	10	0.314468	0.520439	0.793224
10	11	0.451824	0.096093	0.906804
15	2	0.177304	0.762428	0.202171
4	1	0.400725	0.483271	0.474149
25	5	0.013217	0.747313	0.654034
1	2	0.689355	0.033861	0.398332
1	23	0.455396	0.528792	0.320212
6	16	0.285426	0.931601	0.572873
2	9	0.457225	0.051917	0.280814
5	13	0.840213	0.511685	0.478102
15	1	0.255375	0.464849	0.568573
1	22	0.10416	0.571718	0.655373
1	17	0.513857	0.320667	0.697552
1	5	0.906755	0.42569	0.858435
24	1	0.618436	0.432289	0.248971
5	27	0.733715	0.423566	0.545358
6	5	0.3934	0.770319	0.286331
1	4	0.283689	0.733019	0.503446
17	3	0.313281	0.846652	0.576619
6	3	0.099601	0.011527	0.599537
19	2	0.127984	0.465874	0.750766
6	3	0.640915	0.219267	0.399761
4	2	0.392075	0.733453	0.483198
21	2	0.34896	0.459561	0.725003
3	11	0.650449	0.494317	0.308756
8	2	0.550147	0.937485	0.249256
1	7	0.748369	0.46111	0.307752
5	6	0.741578	0.163602	0.581327
22	14	0.309456	0.593131	0.399804
6	6	0.029982	0.780383	0.147613
2	4	0.487038	0.448153	0.62415
3	9	0.414176	0.522555	0.541349
1	26	0.556497	0.359653	0.581331
4	17	0.492172	0.33531	0.796278
4	4	0.552842	0.004833	0.533308
1	2	0.680386	0.680271	0.236229
4	18	0.153149	0.569354	0.649705
27	13	0.19877	0.768846	0.358525
4	3	0.489924	0.919352	0.379356
1	13	0.117414	0.269955	0.643566
5	2	0.224341	0.791094	0.070429
8	2	0.512328	0.541039	0.39667
16	3	0.652432	0.368317	0.793602
6	3	0.70688	0.319177	0.35153
11	3	0.13234	0.992705	0.771852
19	10	0.115551	0.712648	0.2549
17	2	0.612099	0.491396	0.512207
13	5	0.402257	0.718623	0.524052
2	8	0.697238	0.188223	0.386742
3	4	0.270241	0.643082	0.319695
29	3	0.307484	0.767472	0.154404
30	6	0.608928	0.030789	0.153939
2	2	0.811892	0.504266	0.214645
19	4	0.409944	0.017241	0.704264
10	2	0.925389	0.154462	0.743644
8	1	0.352656	0.54129	0.62667
1	3	0.806556	0.272145	0.486426
10	1	0.592744	0.21371	0.699219
