100000 2 2 
A	F	0.34206	0.742252
A	E	0.815883	0.114212
C	E	0.799705	0.518397
A	E	0.299275	0.443988
B	E	0.506151	0.023416
B	E	0.910829	0.005941
A	F	0.280806	0.439292
C	E	0.101531	0.202534
A	E	0.478086	0.606136
A	H	0.018939	0.265188
B	H	0.741687	0.401498
C	E	0.491337	0.298638
A	E	0.579599	0.930413
A	H	0.768316	0.27937
A	F	0.602457	0.586443
A	G	0.651868	0.362816
A	E	0.063279	0.812394
C	E	0.202861	0.826865
B	E	0.623546	0.987989
A	E	0.617423	0.834576
B	E	0.184476	0.343389
A	E	0.623329	0.394574
D	E	0.066589	0.595597
A	G	0.390012	0.812169
A	F	0.97471	0.21934
A	F	0.487449	0.696002
A	E	0.718956	0.20442
B	G	0.182351	0.842723
A	E	0.467636	0.404645
A	E	0.706529	0.728352
A	H	0.44483	0.59131
C	E	0.343375	0.806968
A	G	0.576824	0.581816
B	E	0.724742	0.464706
A	E	0.479361	0.694389
B	F	0.246	0.201905
C	E	0.284006	0.435856
B	E	0.705194	0.429652
A	E	0.940977	0.071684
C	E	0.50017	0.278309
A	H	0.349757	0.318325
A	F	0.812717	0.521285
B	G	0.689065	0.270638
B	F	0.102852	0.266485
A	G	0.191929	0.257541
A	E	0.833488	0.52174
C	F	0.013251	0.932985
B	H	0.702272	0.624058
B	G	0.498006	0.162067
A	F	0.780894	0.257558
B	G	0.314468	0.520439
C	G	0.451824	0.096093
C	E	0.177304	0.762428
A	E	0.400725	0.483271
D	F	0.013217	0.747313
A	E	0.689355	0.033861
A	H	0.455396	0.528792
B	G	0.285426	0.931601
A	F	0.457225	0.051917
B	G	0.840213	0.511685
C	E	0.255375	0.464849
A	H	0.10416	0.571718
A	G	0.513857	0.320667
A	F	0.906755	0.42569
D	E	0.618436	0.432289
B	H	0.733715	0.423566
B	F	0.3934	0.770319
A	F	0.283689	0.733019
C	E	0.313281	0.846652
B	E	0.099601	0.011527
C	E	0.127984	0.465874
B	E	0.640915	0.219267
A	E	0.392075	0.733453
D	E	0.34896	0.459561
A	G	0.650449	0.494317
B	E	0.550147	0.937485
A	F	0.748369	0.46111
B	F	0.741578	0.163602
D	G	0.309456	0.593131
B	F	0.029982	0.780383
A	F	0.487038	0.448153
