100000	2	3		
Z	Y	0	0	0
A	Y	0	0.114212	0.346768
Z	Y	0	0.518397	0
A	E	0	0	0
B	Y	0	0	0
Z	Y	0.910829	0	0
Z	F	0	0	0.615479
Z	E	0	0.202534	0
Z	Y	0	0.606136	0
Z	H	0	0.265188	0
B	H	0.741687	0	0
C	Y	0.491337	0	0
Z	Y	0.579599	0	0.485414
Z	H	0	0.27937	0
Z	F	0	0	0
A	G	0.651868	0	0.824904
Z	Y	0.063279	0	0
C	Y	0	0	0.600039
B	Y	0	0	0
A	E	0.617423	0.834576	0
Z	Y	0.184476	0	0.383539
Z	E	0.623329	0.394574	0.003323
D	Y	0.066589	0	0
A	G	0	0.812169	0
A	Y	0.97471	0	0.91693
Z	F	0.487449	0.696002	0
A	E	0	0.20442	0
B	G	0.182351	0.842723	0.997988
Z	Y	0.467636	0.404645	0.467181
A	E	0.706529	0	0
Z	H	0	0.59131	0
Z	E	0	0	0
A	Y	0.576824	0	0
Z	Y	0	0	0
Z	Y	0	0	0
Z	Y	0.246	0	0
Z	E	0	0.435856	0.381577
B	Y	0	0	0
Z	Y	0	0	0
C	E	0	0.278309	0.361641
A	H	0	0	0
Z	F	0	0.521285	0
Z	G	0	0	0.074231
Z	F	0.102852	0	0
Z	Y	0.191929	0	0
Z	E	0.833488	0	0
C	F	0.013251	0	0
Z	H	0	0	0.235242
B	Y	0	0.162067	0
Z	F	0	0	0
Z	G	0.314468	0	0
C	Y	0	0.096093	0.906804
Z	Y	0.177304	0	0.202171
Z	Y	0.400725	0	0
Z	F	0.013217	0	0
Z	Y	0	0.033861	0
A	Y	0	0.528792	0
B	Y	0.285426	0	0
Z	Y	0	0.051917	0
Z	Y	0.840213	0	0.478102
Z	E	0	0.464849	0.568573
Z	H	0	0.571718	0.655373
Z	Y	0.513857	0	0
Z	F	0	0.42569	0
Z	Y	0	0.432289	0
Z	H	0.733715	0.423566	0
Z	F	0	0	0
A	Y	0.283689	0.733019	0
C	Y	0	0	0
Z	E	0.099601	0.011527	0
Z	Y	0	0.465874	0
Z	Y	0	0.219267	0
Z	Y	0.392075	0.733453	0
D	E	0	0.459561	0
Z	G	0.650449	0	0
B	E	0	0	0
Z	Y	0	0.46111	0.307752
B	Y	0	0	0
Z	G	0	0.593131	0
B	Y	0	0	0.147613
Z	Y	0.487038	0.448153	0.62415
Z	F	0	0	0
Z	Y	0	0	0
Z	G	0.492172	0.33531	0.796278
B	Y	0	0.004833	0
Z	Y	0	0	0.236229
B	G	0.153149	0	0
Z	G	0	0	0
B	E	0	0.919352	0
A	G	0	0	0
B	E	0	0	0.070429
B	Y	0	0.541039	0.39667
Z	Y	0	0.368317	0.793602
Z	Y	0	0	0
Z	Y	0.13234	0	0
D	Y	0	0.712648	0.2549
Z	Y	0.612099	0.491396	0
Z	Y	0	0	0.524052
Z	Y	0.697238	0	0
A	Y	0	0.643082	0
Z	E	0	0	0.154404
Z	Y	0.608928	0	0.153939
Z	Y	0.811892	0.504266	0.214645
Z	F	0	0	0.704264
Z	E	0	0.154462	0.743644
B	Y	0.352656	0	0.62667
Z	Y	0	0	0
C	Y	0.592744	0	0
B	F	0	0	0.189558
Z	Y	0	0.239959	0
Z	Y	0	0	0
Z	F	0	0	0
Z	Y	0	0	0.454342
Z	Y	0	0	0
B	G	0	0.136215	0.130921
A	F	0	0	0
A	Y	0.34067	0.497673	0.395708
Z	Y	0	0	0
D	F	0	0	0.258715
A	Y	0	0.287948	0
Z	E	0.78949	0.653661	0
Z	Y	0.996674	0	0.555685
A	Y	0	0	0.603652
Z	Y	0.90896	0.605146	0
Z	F	0	0	0
Z	E	0.46501	0	0
A	F	0.38279	0.99102	0.318657
B	Y	0.758679	0.54919	0.639911
Z	Y	0	0	0
B	Y	0	0	0.048923
A	E	0.852876	0.541036	0
B	G	0.119911	0	0
C	Y	0.443446	0.3625	0
B	Y	0	0	0
Z	Y	0.411274	0	0.245043
Z	Y	0.477995	0.929058	0
Z	Y	0	0	0.224415
A	E	0	0	0
A	G	0.267397	0.041017	0
Z	Y	0	0	0
Z	Y	0	0.141606	0
Z	Y	0	0	0.473595
Z	F	0	0.102429	0
A	Y	0	0	0.14428
Z	Y	0	0.323561	0
Z	Y	0	0.26564	0.476306
A	Y	0	0	0
C	Y	0	0.229933	0
A	Y	0.965475	0.497425	0.09415
Z	E	0	0	0
Z	E	0	0	0
Z	Y	0	0	0
B	E	0	0.0359	0
A	Y	0	0.523633	0.637609
Z	G	0.527122	0.732319	0
Z	Y	0	0.561629	0.132118
B	Y	0	0	0
Z	E	0	0	0.14292
Z	Y	0	0.853036	0
Z	E	0.68338	0	0
B	Y	0	0	0
B	Y	0	0	0
Z	Y	0	0.454339	0.953187
B	Y	0	0.039065	0.267532
A	Y	0.387149	0	0
A	F	0.631971	0.109791	0
Z	E	0.568181	0	0.155358
Z	Y	0	0	0
A	H	0	0	0.737462
Z	Y	0	0	0.906472
B	E	0	0	0.791752
A	Y	0	0.290938	0
Z	F	0	0	0.057827
Z	Y	0	0	0
Z	Y	0.736726	0.297659	0.024147
A	Y	0.051209	0	0
A	Y	0.591754	0	0
Z	F	0	0.436544	0
B	F	0.944318	0	0.419973
C	F	0	0	0.016894
Z	Y	0.01296	0	0
Z	Y	0.164849	0	0.701151
B	Y	0	0	0
B	Y	0	0	0.36494
B	Y	0	0.860303	0.337255
Z	H	0	0	0.304964
A	Y	0	0.510782	0.310497
Z	Y	0	0	0
A	Y	0	0.688254	0
Z	F	0	0	0.456924
C	E	0	0	0
Z	Y	0.603532	0	0.164183
Z	Y	0.924855	0.76653	0.445582
A	Y	0	0	0.775352
Z	E	0	0.366227	0.513693
D	Y	0.523363	0	0.861868
Z	G	0	0.255388	0
Z	Y	0.307331	0	0.073033
Z	Y	0	0.888985	0
Z	E	0.891997	0.018792	0
A	Y	0.914686	0.816307	0
Z	Y	0	0	0
B	E	0	0	0
B	Y	0.51084	0	0
Z	Y	0.595849	0	0
Z	E	0.429288	0.856069	0
A	Y	0.476558	0.511656	0.532864
Z	Y	0.265538	0	0.554687
Z	F	0	0	0.405711
C	F	0.38385	0.18156	0
Z	F	0	0.776534	0
B	Y	0	0	0
Z	Y	0.669547	0	0
Z	Y	0	0	0.536454
Z	F	0	0.942129	0.262281
Z	Y	0	0	0
B	H	0.198211	0	0
C	G	0.785305	0	0
B	F	0.096645	0	0
A	Y	0.089464	0	0
Z	Y	0	0.541686	0
Z	Y	0	0	0
Z	Y	0	0.251689	0.565367
Z	Y	0.205396	0	0.670244
Z	Y	0.735559	0.621318	0
Z	Y	0	0	0.758599
A	E	0	0.668496	0
Z	Y	0	0	0.277214
Z	Y	0	0	0
Z	F	0	0.094146	0
Z	Y	0	0.273653	0.470586
A	G	0.484583	0.573872	0
Z	E	0.498202	0.630162	0.687247
A	G	0	0	0
B	Y	0.358427	0	0
D	Y	0.413319	0.459394	0.754669
Z	Y	0	0	0.008925
Z	E	0	0	0
Z	Y	0.082708	0	0.672543
Z	Y	0	0.638643	0
Z	Y	0.531231	0	0.385704
Z	F	0	0	0
B	F	0	0.730944	0.41576
Z	Y	0	0.520252	0
D	E	0	0	0
Z	Y	0.517369	0	0
Z	H	0	0.805193	0.39744
Z	E	0	0	0
Z	Y	0	0.042226	0.815005
Z	Y	0	0.531452	0
C	Y	0.78221	0	0
Z	E	0	0	0
Z	Y	0	0	0.325993
Z	F	0	0	0.85928
Z	Y	0.965407	0.305098	0.379268
D	Y	0	0.741397	0
B	Y	0.264297	0	0
Z	Y	0	0.162147	0
C	F	0	0.379629	0.380651
B	E	0.347408	0.665429	0
Z	E	0.800438	0	0
Z	Y	0.804102	0	0.559698
A	Y	0	0	0
A	Y	0	0.811917	0.644741
C	Y	0.937389	0.553886	0
Z	Y	0.78939	0.630666	0
Z	Y	0.797934	0.176103	0
Z	Y	0	0	0.916052
Z	E	0	0	0.775563
Z	E	0.37901	0	0.995977
Z	Y	0.037082	0	0
D	Y	0	0.202176	0.241797
Z	E	0	0.660343	0
B	Y	0	0.736916	0.57497
Z	Y	0	0.694069	0
Z	Y	0	0.666201	0.541701
A	Y	0	0	0
Z	Y	0.132567	0	0
B	Y	0.321348	0	0
Z	Y	0	0	0
B	Y	0.693778	0	0
Z	Y	0	0	0.642163
A	F	0	0.5477	0.768583
Z	Y	0	0.979669	0
Z	F	0.328891	0	0.581957
Z	F	0	0	0.539287
Z	Y	0	0	0.665449
Z	Y	0.064986	0.947832	0
Z	F	0.960274	0.453309	0
Z	H	0.791649	0	0.156657
A	H	0	0.339592	0.932702
B	Y	0.122942	0	0
B	Y	0	0.458233	0
Z	E	0	0.862625	0.611196
A	E	0	0.260755	0
Z	G	0.770383	0	0
Z	Y	0	0.666565	0
C	E	0	0	0
A	Y	0	0	0
A	Y	0	0.932503	0
C	Y	0.717413	0.090585	0
B	E	0	0.030613	0
Z	E	0	0.367965	0.475162
B	Y	0	0.511021	0
Z	F	0	0	0.015453
Z	F	0	0	0
Z	Y	0.935481	0.716183	0
Z	F	0.2682	0.854732	0
A	Y	0	0.506514	0.623875
Z	H	0	0	0.532027
B	F	0.458984	0.980131	0
Z	Y	0	0.596958	0
Z	G	0.516746	0	0
B	E	0	0	0.852918
A	F	0	0.197195	0
A	H	0	0	0
Z	F	0	0	0
A	E	0.716318	0.5909	0.227084
D	Y	0	0.781794	0
Z	E	0	0	0
A	Y	0	0	0
A	Y	0.513648	0	0
B	Y	0.754742	0.305342	0.062064
A	H	0	0	0.376358
Z	Y	0.325105	0	0
C	F	0	0.375317	0.020348
Z	Y	0	0	0.722121
Z	Y	0	0	0
Z	Y	0	0.383233	0
Z	E	0	0	0
Z	H	0	0.222112	0
Z	E	0	0	0
A	H	0	0	0
A	Y	0.972871	0.241712	0.547703
C	F	0	0	0.993029
Z	Y	0.268869	0.967168	0.446347
B	Y	0	0	0
B	Y	0.273128	0.741543	0.363614
Z	Y	0	0	0
B	Y	0	0.776213	0.182398
A	F	0.270657	0	0
Z	Y	0.654752	0.163883	0.249605
Z	E	0.468734	0.571032	0.646329
Z	F	0.336337	0.353157	0
C	E	0.426408	0.698929	0
Z	Y	0	0	0.45795
Z	Y	0	0	0.848403
Z	Y	0.472945	0.014942	0.394287
Z	Y	0	0	0
B	Y	0.819844	0	0.547813
A	F	0.428169	0	0
B	Y	0	0.1542	0
A	E	0	0	0
Z	E	0	0	0.586521
Z	F	0.697293	0.701943	0.520057
Z	Y	0.975051	0.24902	0.369109
Z	E	0	0	0
Z	Y	0.385154	0	0.604795
Z	Y	0	0	0
Z	Y	0.526044	0.599939	0
A	Y	0.250674	0.095055	0.945706
D	Y	0	0	0.685041
Z	Y	0	0.596922	0
A	H	0	0	0
Z	Y	0.860689	0.514364	0.118178
Z	Y	0	0	0.684821
C	E	0.968151	0.225087	0
B	Y	0.622318	0.8407	0.305448
B	Y	0	0	0.108901
Z	Y	0	0	0.507206
B	Y	0.577538	0.421711	0
D	Y	0.108583	0	0
A	Y	0.592337	0.327331	0
Z	Y	0.600113	0.462317	0
A	F	0	0	0.500442
Z	Y	0.333548	0.340711	0.237044
Z	Y	0	0	0
D	E	0	0	0.292818
Z	Y	0	0	0.267991
A	F	0	0	0
Z	Y	0.141375	0.936427	0.317357
Z	E	0	0	0
A	Y	0	0.827088	0
Z	Y	0.921336	0.575698	0.206871
Z	Y	0.952721	0	0
A	F	0.276621	0.628012	0
Z	F	0	0	0.520411
Z	Y	0.103855	0.611959	0
B	Y	0.257615	0.647008	0
Z	G	0.323554	0.145658	0
Z	F	0.74993	0.782415	0
C	Y	0.457076	0	0
Z	Y	0	0.453886	0.530766
Z	Y	0.770711	0.388441	0.818784
A	Y	0	0.445478	0.568226
Z	Y	0.545207	0	0
Z	Y	0	0.308848	0.214273
Z	Y	0.947241	0	0.580186
Z	H	0.29933	0.780945	0.857763
Z	Y	0.56872	0	0.139411
C	E	0.984456	0.258879	0.563172
B	Y	0	0	0
C	E	0.442737	0.62451	0.850436
A	F	0	0.963428	0.383639
Z	E	0	0	0.730039
C	Y	0.409855	0	0
A	F	0.736201	0.147429	0.455654
Z	Y	0	0	0.663354
A	Y	0	0	0
Z	Y	0.414881	0	0
A	E	0	0.679715	0
Z	E	0	0.301194	0.433711
Z	Y	0.602652	0	0
Z	Y	0.529318	0	0
Z	E	0.895037	0	0.724693
C	Y	0	0.556775	0
Z	Y	0.86423	0	0.299541
Z	E	0.835263	0	0
Z	G	0	0	0
Z	Y	0.855321	0	0.808224
Z	Y	0	0.906416	0.216332
Z	E	0	0.317677	0.920412
B	Y	0	0	0.505487
B	Y	0.050049	0.649835	0
Z	Y	0	0	0.243775
A	E	0.757792	0	0
Z	Y	0	0	0
Z	Y	0	0.804773	0
B	E	0	0.54504	0
A	Y	0.68586	0.916962	0.11075
Z	E	0	0	0
B	E	0	0	0
Z	Y	0.145491	0	0.580022
Z	E	0	0.882376	0
A	F	0	0	0.837638
B	Y	0.31372	0	0.678057
Z	Y	0	0.538451	0.598838
C	Y	0.377026	0	0
B	Y	0	0.494066	0
Z	Y	0.570755	0.383825	0
Z	Y	0.550553	0	0.473478
Z	Y	0.733619	0	0
Z	Y	0	0	0
Z	Y	0	0	0
A	E	0	0.718126	0
Z	Y	0.317909	0	0
Z	Y	0	0	0.469104
Z	Y	0	0.850286	0.444975
Z	E	0	0	0.455322
A	Y	0	0.438361	0.187004
D	Y	0	0	0.665342
A	Y	0	0	0
Z	Y	0.260358	0	0.710112
D	Y	0.690945	0.209712	0
C	E	0	0	0
B	E	0	0.348191	0
Z	Y	0	0.974765	0
Z	H	0	0	0
B	Y	0.37697	0	0
Z	F	0.487043	0	0.539033
Z	E	0.81097	0.388389	0.88663
Z	Y	0	0	0.75918
Z	Y	0.685037	0.111385	0
Z	E	0.781887	0.011431	0
Z	Y	0.717105	0	0
B	Y	0.347318	0	0.406117
Z	Y	0.479297	0	0.723815
C	Y	0	0.513982	0
A	Y	0	0.467877	0
Z	E	0	0.427396	0.726145
Z	Y	0.709089	0	0
Z	Y	0	0	0
Z	H	0	0.859585	0
Z	F	0	0	0
Z	Y	0.181168	0	0.332449
B	Y	0	0.458596	0.980062
Z	Y	0.234561	0	0
Z	G	0.162672	0.151494	0
Z	Y	0	0	0
A	Y	0.472344	0.694784	0
B	Y	0	0	0
B	Y	0	0.168871	0
B	Y	0	0.239026	0.334852
Z	Y	0	0.401303	0
Z	F	0.425257	0.273673	0
Z	Y	0	0.705667	0.492373
Z	Y	0	0.567492	0
Z	Y	0	0	0.603703
Z	Y	0.397241	0	0.06883
Z	Y	0.630355	0	0
Z	Y	0	0	0
B	Y	0	0	0
C	Y	0	0.060264	0
Z	E	0.948028	0.150843	0
Z	Y	0	0	0.800939
C	E	0	0	0
Z	Y	0.323582	0.737293	0
Z	G	0.376622	0	0
C	F	0	0.842116	0.882841
Z	Y	0	0.489701	0
B	Y	0	0	0.194246
B	F	0.409614	0	0
Z	E	0	0	0
A	H	0.012391	0.581579	0
Z	H	0	0.157788	0.380541
A	Y	0.322884	0.467346	0
Z	E	0	0	0
C	Y	0	0.584678	0
Z	Y	0.427153	0.752234	0
A	G	0.54841	0.627655	0
Z	F	0	0.61795	0
A	G	0	0.337414	0
Z	Y	0	0	0
A	Y	0.383734	0	0.092237
A	Y	0	0	0
C	Y	0	0.273983	0
Z	Y	0	0	0
Z	G	0	0	0.707429
Z	Y	0.826736	0	0
A	Y	0.842238	0	0
Z	Y	0.466954	0	0
Z	F	0	0	0.471063
Z	Y	0.706409	0.762167	0
Z	Y	0	0	0.784939
Z	Y	0.813041	0	0
Z	E	0	0	0.694823
Z	F	0	0	0.874484
Z	F	0	0	0
Z	E	0.835047	0.287393	0.362172
B	G	0	0.250528	0
Z	Y	0	0	0
Z	E	0	0	0.204995
Z	Y	0	0	0
Z	Y	0.953822	0	0
Z	Y	0	0	0
Z	Y	0	0.327669	0
Z	Y	0.98157	0	0
Z	Y	0.48222	0	0.557297
Z	Y	0.439815	0	0.856635
C	Y	0.570931	0	0.68483
Z	Y	0	0	0.482472
B	Y	0	0	0
A	Y	0.917503	0	0
Z	Y	0.179343	0	0.834057
A	E	0	0	0
C	G	0	0.429461	0.482576
Z	E	0.253528	0.750394	0
Z	F	0.394928	0.213843	0
Z	Y	0	0	0.073806
Z	Y	0	0.885663	0
Z	G	0.325349	0	0.031272
Z	Y	0	0.4944	0
B	E	0.928588	0.457464	0
B	Y	0	0	0.186988
Z	G	0.449677	0	0.771527
A	G	0.978588	0	0
C	Y	0	0	0
B	F	0.22778	0	0.352714
A	Y	0.286214	0	0.575707
Z	Y	0	0	0
Z	Y	0	0	0.559914
B	F	0	0	0.567216
Z	E	0.600395	0	0.63521
Z	E	0.495907	0	0
D	E	0.490729	0.998028	0.360108
Z	Y	0	0.071576	0
D	Y	0.712894	0.907042	0.464792
B	Y	0	0	0
Z	F	0.764496	0	0.204018
Z	F	0	0	0
Z	E	0.833584	0	0.363833
Z	H	0	0.262755	0.311465
A	Y	0	0.430753	0.908421
Z	Y	0	0	0.506744
A	Y	0	0	0.730635
Z	Y	0.722977	0	0
Z	E	0	0	0.879949
Z	H	0	0	0
Z	H	0	0	0
Z	F	0	0.451722	0
Z	Y	0	0	0
A	Y	0	0	0.536089
C	E	0	0.252092	0.733417
Z	Y	0	0	0.922787
Z	H	0	0	0.191823
A	F	0	0	0.39028
A	Y	0	0	0
Z	E	0.285399	0	0
Z	Y	0.953949	0	0
Z	Y	0.401128	0.828383	0
Z	Y	0	0	0
Z	E	0	0	0.544151
Z	Y	0.236125	0.730592	0.71561
Z	Y	0.856464	0	0
Z	Y	0.979859	0.246969	0
Z	E	0.784411	0	0
Z	Y	0.431649	0	0.379882
Z	Y	0	0.129926	0.72024
Z	Y	0	0	0
Z	Y	0.998085	0.078496	0.527279
Z	G	0.620317	0.726116	0.211563
A	Y	0	0	0
A	Y	0	0.250195	0
A	G	0.443499	0.418152	0.976476
Z	Y	0	0	0
Z	Y	0	0	0.049397
Z	Y	0	0.492516	0.525172
B	Y	0.796394	0	0.151158
B	Y	0.582509	0	0
A	Y	0	0.49267	0.675119
B	F	0	0	0.72569
Z	Y	0.982392	0	0
B	Y	0.313577	0.459922	0
Z	F	0	0.199974	0
Z	F	0	0	0.318739
Z	E	0.258673	0	0.541852
Z	Y	0	0.302336	0
D	F	0	0	0
A	G	0	0	0
C	Y	0	0.593989	0.32811
B	E	0	0.214496	0
B	Y	0.42603	0	0
Z	E	0	0.87646	0
Z	E	0	0.849866	0.542667
B	Y	0	0.89879	0.21281
B	E	0	0.020052	0.274297
Z	Y	0.305537	0	0
D	E	0.302701	0.493419	0.711449
Z	Y	0	0	0
