119307 2 4 
a	J	0.000096	0.003318	0.5	0.375
b	I	0.000096	0.003981	0.75	0.75
b	I	0.000096	0.003318	0.75	0.5
a	I	0.000096	0.003318	0.75	0.375
b	I	0.000096	0.003318	0.75	0.75
b	E	0.000104	0.003981	0.75	0.375
a	J	0.000104	0.003318	0.75	0.375
a	J	0.000104	0.003318	0.5	0.375
c	J	0.000104	0.003318	0.75	0.5
b	I	0.000104	0.003981	0.75	1
a	J	0.000104	0.003318	0.75	0.75
a	J	0.000104	0.003318	0.5	0.375
a	I	0.000104	0.003318	0.5	0.375
a	J	0.000104	0.003318	0.5	0.375
a	J	0.000104	0.003318	0.5	0.375
b	I	0.000104	0.003318	0.75	0.5
a	J	0.000104	0.003318	0.5	0.75
a	J	0.000104	0.003318	0.5	0.375
b	E	0.000104	0.003318	0.75	0.375
b	J	0.000104	0.003318	0.5	0.875
a	F	0.000104	0.003318	0.5	0.375
d	G	0.000111	0.003318	0.75	0.375
a	J	0.000111	0.005309	1	0.375
a	I	0.000111	0.003318	0.5	0.375
e	I	0.000111	0.003318	0.75	0.75
a	J	0.000111	0.003318	0.5	0.375
a	J	0.000111	0.008626	0.5	0.75
b	J	0.000111	0.003318	0.75	0.875
a	I	0.000111	0.003318	1	0.375
b	I	0.000111	0.003318	0.75	0.75
a	J	0.000111	0.003318	0.5	0.375
a	I	0.000111	0.005309	0.5	0.375
d	J	0.000111	0.004645	0.75	0.375
e	I	0.000111	0.003318	0.75	0.75
c	F	0.000111	0.003318	0.25	0.75
a	J	0.000111	0.003318	0.5	0.75
a	I	0.000111	0.003318	0.75	0.75
b	F	0.000111	0.003318	0.75	0.375
b	J	0.000111	0.005309	0.75	0.75
b	G	0.000111	0.003318	0.5	0.75
b	J	0.000111	0.003318	1	0.875
b	F	0.000111	0.003318	0.75	0.375
b	F	0.000111	0.003318	0.75	0.375
a	J	0.000111	0.003318	0.5	0.75
b	J	0.000111	0.003318	0.75	0.5
b	H	0.000119	0.003318	0.75	0.75
b	F	0.000119	0.003318	0.75	0.375
a	I	0.000119	0.003981	1	0.75
a	I	0.000119	0.003318	0.5	0.75
a	I	0.000119	0.003318	1	0.375
a	G	0.000119	0.003318	0.75	0.375
a	J	0.000119	0.003318	0.5	0.5
b	F	0.000119	0.003318	0.75	0.375
a	I	0.000119	0.003981	1	0.375
d	E	0.000119	0.003318	0.75	0.75
a	I	0.000119	0.003318	1	0.75
a	J	0.000119	0.003318	1	0.75
a	J	0.000119	0.003318	1	0.75
a	I	0.000119	0.003318	0.75	0.75
a	I	0.000119	0.003318	1	0.375
a	J	0.000119	0.003318	0.75	0.375
a	I	0.000119	0.003318	1	0.375
a	J	0.000119	0.003318	0.5	0.375
a	J	0.000119	0.003318	0.75	0.375
a	J	0.000119	0.004645	1	0.375
e	I	0.000119	0.003318	0.25	0.5
a	J	0.000119	0.004645	1	0.75
b	F	0.000119	0.003318	0.75	0.375
a	I	0.000119	0.003318	0.5	0.375
b	F	0.000119	0.003318	0.75	0.75
a	I	0.000119	0.003318	0.5	0.75
c	I	0.000119	0.005309	0.75	0.75
