100000	2	3		
Z	F	0	0.742252	0
A	E	0	0	0
C	E	0.799705	0.518397	0
A	E	0	0.443988	0
B	Y	0.506151	0	0
Z	E	0	0	0
A	F	0.280806	0	0
Z	Y	0.101531	0	0
A	E	0	0	0
A	Y	0.018939	0	0.833301
Z	H	0	0	0
Z	Y	0	0.298638	0.171706
Z	E	0	0	0.485414
Z	H	0	0.27937	0.548759
Z	F	0	0.586443	0.83261
A	G	0.651868	0.362816	0
Z	Y	0.063279	0	0
Z	E	0	0.826865	0.600039
Z	E	0.623546	0	0
A	Y	0.617423	0	0
Z	Y	0.184476	0	0
Z	Y	0.623329	0	0
Z	Y	0.066589	0.595597	0
Z	Y	0	0	0.428178
A	F	0	0.21934	0.91693
Z	Y	0.487449	0	0
A	Y	0	0.20442	0.603014
Z	Y	0	0	0
Z	E	0	0.404645	0
A	E	0.706529	0	0.174246
Z	Y	0	0.59131	0
C	Y	0	0	0.619578
A	Y	0	0.581816	0
Z	E	0	0.464706	0.29801
A	E	0.479361	0	0
B	F	0	0	0
Z	E	0	0.435856	0
Z	Y	0.705194	0.429652	0
A	E	0	0	0
Z	E	0.50017	0.278309	0
A	H	0	0.318325	0.531975
Z	F	0.812717	0.521285	0
Z	Y	0.689065	0.270638	0.074231
B	Y	0.102852	0	0.816202
A	G	0	0.257541	0
A	Y	0.833488	0	0
C	Y	0.013251	0	0
B	Y	0.702272	0.624058	0.235242
Z	G	0.498006	0.162067	0
A	Y	0.780894	0.257558	0
Z	Y	0.314468	0	0.793224
C	Y	0	0	0
Z	E	0	0.762428	0
Z	Y	0.400725	0	0
D	F	0.013217	0.747313	0.654034
Z	E	0	0	0.398332
A	Y	0	0.528792	0
B	Y	0	0	0.572873
A	Y	0	0	0
B	G	0.840213	0.511685	0
C	E	0.255375	0.464849	0
Z	H	0	0.571718	0.655373
A	G	0.513857	0.320667	0.697552
Z	Y	0	0.42569	0.858435
D	Y	0	0	0.248971
Z	Y	0.733715	0	0.545358
Z	Y	0	0.770319	0
Z	F	0	0	0.503446
Z	E	0	0	0
B	E	0	0.011527	0
C	Y	0.127984	0	0.750766
Z	E	0.640915	0.219267	0.399761
Z	Y	0	0.733453	0
D	Y	0.34896	0	0
Z	Y	0.650449	0	0.308756
Z	E	0.550147	0	0.249256
Z	F	0.748369	0	0.307752
Z	Y	0	0	0
Z	G	0.309456	0.593131	0.399804
B	F	0.029982	0.780383	0.147613
A	Y	0.487038	0	0.62415
Z	Y	0.414176	0	0
A	H	0	0.359653	0.581331
Z	Y	0	0	0
B	F	0.552842	0	0
Z	E	0	0.680271	0.236229
Z	G	0	0.569354	0.649705
D	G	0	0.768846	0
B	E	0.489924	0.919352	0
Z	Y	0	0.269955	0.643566
B	E	0.224341	0.791094	0
B	E	0	0.541039	0.39667
C	Y	0.652432	0	0.793602
B	E	0	0	0.35153
Z	Y	0.13234	0.992705	0
Z	G	0	0.712648	0
Z	E	0.612099	0.491396	0
C	Y	0.402257	0.718623	0
Z	F	0	0.188223	0.386742
A	F	0.270241	0	0.319695
Z	Y	0	0.767472	0.154404
Z	Y	0	0.030789	0.153939
A	Y	0.811892	0	0.214645
Z	F	0	0.017241	0.704264
C	E	0	0	0
Z	Y	0.352656	0	0.62667
A	E	0	0.272145	0.486426
C	Y	0.592744	0.21371	0
B	F	0	0.113116	0
Z	F	0	0	0
Z	Y	0.463552	0	0.373312
A	Y	0.49063	0.498755	0.100319
B	F	0	0	0.454342
Z	H	0.089024	0.346118	0.576863
Z	G	0	0	0
Z	Y	0	0.46225	0
Z	Y	0	0	0
Z	E	0	0.373916	0
Z	F	0.045758	0.683619	0.258715
Z	F	0.758042	0	0.93706
Z	Y	0	0.653661	0.550873
Z	E	0	0.010173	0.555685
Z	F	0.61483	0.336633	0
Z	E	0.90896	0.605146	0.959301
Z	F	0	0	0
C	Y	0	0.874213	0.434806
Z	F	0	0	0.318657
B	E	0	0	0
A	Y	0.88157	0	0
B	Y	0	0	0.048923
A	E	0.852876	0	0
Z	Y	0.119911	0.75316	0
Z	G	0.443446	0.3625	0.756533
B	E	0.424744	0.202612	0
C	Y	0	0.655608	0
B	Y	0.477995	0	0
A	Y	0	0	0.224415
Z	Y	0	0.491064	0
A	G	0.267397	0	0
Z	E	0.966316	0.318976	0
A	F	0.692315	0	0.438787
B	Y	0.485171	0.805733	0.473595
Z	F	0.333493	0.102429	0
A	Y	0	0.607811	0.14428
Z	Y	0	0.323561	0.676594
B	Y	0	0.26564	0.476306
Z	Y	0	0.967418	0
C	E	0	0	0
Z	Y	0.965475	0	0
Z	E	0	0.920323	0.439702
Z	E	0.244038	0	0
Z	F	0	0.890432	0.416491
Z	E	0	0	0.430006
A	E	0.967892	0	0.637609
A	G	0.527122	0	0.303914
Z	E	0.693258	0	0.132118
Z	E	0.710808	0.261283	0
Z	Y	0	0	0.14292
A	E	0.540314	0.853036	0
Z	Y	0	0	0.15766
B	F	0	0.544476	0
Z	Y	0.292142	0.941807	0.709416
Z	E	0	0	0
Z	Y	0	0	0
Z	E	0	0	0
A	Y	0.631971	0	0
Z	E	0.568181	0.904355	0
Z	Y	0	0	0.42903
A	Y	0.515639	0.555781	0.737462
A	Y	0	0	0.906472
Z	Y	0	0.744979	0.791752
Z	H	0.589315	0	0.645086
A	Y	0.058312	0.984095	0
D	E	0	0.376791	0
Z	E	0.736726	0	0
A	Y	0.051209	0.785567	0
Z	F	0.591754	0	0
B	F	0.911349	0	0
B	F	0.944318	0.246143	0.419973
Z	F	0.916632	0.187731	0.016894
C	Y	0.01296	0.635241	0
D	Y	0.164849	0	0.701151
Z	Y	0	0	0
B	Y	0	0	0.36494
Z	E	0.602484	0	0.337255
Z	Y	0	0	0.304964
A	Y	0	0	0
Z	Y	0	0	0
Z	Y	0	0.688254	0.324282
Z	F	0.255225	0.824457	0
Z	E	0.397631	0.580335	0
A	E	0	0	0.164183
A	G	0.924855	0	0.445582
Z	H	0.86995	0.084804	0
Z	E	0.885632	0.366227	0.513693
D	E	0	0.346988	0.861868
A	G	0.09361	0.255388	0
A	Y	0	0.610208	0.073033
B	Y	0.628753	0.888985	0.45839
Z	E	0	0	0.359122
Z	Y	0.914686	0	0
A	E	0	0.963326	0
Z	Y	0.219172	0.658326	0
B	Y	0.51084	0.322593	0
Z	E	0.595849	0	0.633071
Z	E	0.429288	0.856069	0
A	Y	0.476558	0	0
D	Y	0	0	0.554687
Z	F	0.70708	0.698403	0
C	Y	0	0	0
B	Y	0	0	0
B	F	0.575264	0.168289	0
Z	E	0	0.632209	0
Z	E	0.994309	0	0.536454
Z	F	0.559137	0.942129	0
A	Y	0	0.61274	0.318735
Z	Y	0	0	0
C	Y	0.785305	0.233545	0.506639
Z	F	0	0	0
A	Y	0	0	0
C	Y	0	0.541686	0
Z	F	0	0.601836	0.461939
Z	Y	0	0.251689	0.565367
B	Y	0	0.440275	0.670244
Z	F	0.735559	0.621318	0
B	Y	0	0	0.758599
Z	Y	0	0.668496	0
Z	Y	0.857207	0	0.277214
A	Y	0	0.457622	0.541458
Z	F	0	0	0.917527
A	Y	0	0	0
A	G	0.484583	0.573872	0.218953
Z	Y	0.498202	0.630162	0
Z	Y	0.500744	0	0.097551
B	Y	0.358427	0	0
Z	Y	0	0.459394	0
Z	Y	0	0	0
Z	Y	0	0.221391	0
C	F	0.082708	0	0
B	Y	0	0.638643	0
A	E	0.531231	0	0.385704
Z	Y	0.38132	0.729327	0.700316
B	F	0	0	0.41576
C	E	0.650547	0	0
Z	E	0	0	0
Z	F	0	0	0.22033
Z	Y	0	0	0.39744
C	Y	0.490395	0.677328	0
A	Y	0	0.042226	0.815005
Z	F	0	0.531452	0
Z	F	0	0	0
Z	E	0	0	0
Z	F	0	0	0
B	Y	0.294204	0	0.85928
Z	Y	0.965407	0	0
Z	E	0	0	0.368634
B	E	0.264297	0	0
A	Y	0	0.162147	0
C	Y	0.275629	0.379629	0
Z	Y	0.347408	0.665429	0
B	E	0.800438	0	0
Z	F	0	0	0
A	Y	0	0.241777	0
A	E	0.744639	0.811917	0
Z	Y	0.937389	0.553886	0
A	E	0.78939	0.630666	0
Z	E	0.797934	0.176103	0
B	Y	0	0	0.916052
C	E	0	0.137311	0.775563
A	Y	0.37901	0.402544	0.995977
A	Y	0	0	0.173473
Z	Y	0.591082	0	0.241797
Z	Y	0.402708	0	0
Z	G	0	0.736916	0.57497
A	E	0	0	0.347422
A	Y	0.873878	0.666201	0
A	Y	0.620964	0	0
Z	Y	0.132567	0.834018	0.514722
Z	F	0.321348	0	0
Z	Y	0	0	0
B	E	0	0.021444	0
B	E	0.026865	0	0.642163
A	Y	0.308261	0.5477	0
Z	H	0.412243	0.979669	0
B	Y	0.328891	0	0
C	Y	0	0	0
B	E	0.585441	0	0.665449
Z	Y	0	0.947832	0
Z	Y	0	0.453309	0
B	Y	0.791649	0.687484	0
A	H	0	0	0.932702
B	Y	0.122942	0.310539	0.427331
B	Y	0	0	0.679304
C	E	0	0	0
Z	Y	0.458747	0.260755	0
Z	G	0.770383	0	0.217396
Z	F	0	0	0
Z	E	0.481081	0	0
A	Y	0.469481	0	0
A	Y	0	0	0
C	E	0	0	0
Z	E	0	0.030613	0.744836
Z	E	0	0.367965	0
B	F	0	0	0
B	Y	0.767687	0.591967	0.015453
Z	Y	0	0.272508	0.412735
A	Y	0.935481	0.716183	0
B	F	0	0.854732	0.462784
Z	E	0.693308	0.506514	0
Z	H	0	0.797157	0.532027
B	F	0.458984	0	0.22632
Z	Y	0.432823	0	0
Z	Y	0.516746	0	0.086421
B	E	0	0	0
A	Y	0.912169	0.197195	0
Z	H	0	0.206261	0.804733
Z	Y	0.767159	0.656577	0
Z	Y	0	0.5909	0.227084
Z	Y	0.894014	0.781794	0
A	Y	0	0	0.83124
A	Y	0.730595	0.629665	0.04949
Z	Y	0.513648	0	0
Z	Y	0.754742	0.305342	0
Z	Y	0	0	0
B	E	0.325105	0.798603	0
Z	F	0.675105	0	0.020348
Z	G	0.537766	0	0
Z	E	0	0	0.809574
Z	Y	0	0.383233	0
Z	Y	0.791573	0	0
B	H	0.539876	0	0
A	Y	0.215195	0.677523	0
A	Y	0	0.802534	0.348721
Z	E	0	0	0.547703
C	Y	0.610303	0.062369	0
Z	Y	0.268869	0	0
B	Y	0.487045	0	0.483963
B	G	0.273128	0	0.363614
Z	Y	0.819715	0.027857	0.957125
B	Y	0	0	0.182398
Z	F	0	0.341809	0.554678
A	Y	0.654752	0.163883	0.249605
A	E	0	0	0.646329
B	Y	0.336337	0	0
C	E	0.426408	0	0.169922
C	F	0	0	0
Z	Y	0.598639	0	0
C	Y	0.472945	0	0
B	Y	0	0	0
B	E	0.819844	0	0
A	Y	0	0	0
Z	Y	0	0	0.707641
Z	E	0.626849	0	0.339849
Z	Y	0.470649	0.143959	0.586521
A	Y	0.697293	0.701943	0
B	Y	0.975051	0	0.369109
B	E	0	0.164962	0.679071
Z	Y	0.385154	0	0
Z	F	0.514418	0	0.547212
Z	E	0	0.599939	0.69381
A	Y	0.250674	0.095055	0.945706
D	E	0	0.052473	0.685041
Z	Y	0.455991	0	0.29998
A	Y	0.630651	0	0.848109
A	Y	0.860689	0	0
D	E	0	0	0
Z	E	0.968151	0	0.845484
B	F	0	0.8407	0
Z	G	0	0.710419	0
A	E	0.826825	0	0
Z	Y	0	0.421711	0
Z	E	0	0	0
Z	Y	0.592337	0.327331	0
Z	Y	0.600113	0	0
Z	Y	0.764423	0.325457	0.500442
A	Y	0.333548	0.340711	0
Z	Y	0.156593	0	0.555046
D	E	0.269304	0	0.292818
B	Y	0	0	0
Z	Y	0.425671	0	0
B	Y	0	0.936427	0
Z	E	0	0.480334	0.56411
A	Y	0.144247	0.827088	0
Z	Y	0	0	0
A	F	0	0.352704	0
A	F	0.276621	0.628012	0.512158
Z	Y	0	0	0.520411
B	Y	0	0	0
B	Y	0.257615	0.647008	0.639425
A	G	0	0	0
Z	F	0	0	0
C	Y	0.457076	0	0.995253
C	Y	0	0	0
Z	Y	0.770711	0	0
A	F	0.922564	0.445478	0
Z	Y	0	0	0.353377
C	Y	0	0	0.214273
A	Y	0.947241	0.388984	0
Z	H	0.29933	0	0.857763
C	Y	0.56872	0	0.139411
Z	Y	0.984456	0.258879	0.563172
Z	E	0	0	0
C	Y	0.442737	0.62451	0.850436
Z	Y	0.300592	0.963428	0.383639
B	Y	0.138278	0	0.730039
C	E	0.409855	0.597362	0
A	Y	0.736201	0.147429	0
Z	F	0	0	0.663354
A	E	0	0.319521	0.467042
A	Y	0	0	0.450775
A	Y	0.934297	0.679715	0.771991
Z	Y	0.54117	0.301194	0
A	F	0.602652	0.420428	0.457767
A	E	0	0	0
Z	Y	0	0.596226	0.724693
Z	Y	0.345182	0	0.156309
A	E	0	0	0
